"","county_state","numHospitals","pct_private_non_profit","num_acute_care_hospitals","avg_acute_care_rating","median_acute_care_rating"
"2001","OTERO, CO",1,100,1,3,3
"2002","OTSEGO, MI",1,100,1,4,4
"2003","OTTAWA, KS",1,0,0,NA,NA
"2004","OTTAWA, OH",1,100,0,NA,NA
"2005","OTTAWA, OK",1,100,1,3,3
"2006","OUACHITA, AR",1,100,1,4,4
"2007","OVERTON, TN",1,0,1,2,2
"2008","OWEN, KY",1,0,0,NA,NA
"2009","PAGE, VA",1,100,0,NA,NA
"2010","PALO ALTO, IA",1,0,0,NA,NA
"2011","PALO PINTO, TX",1,0,1,2,2
"2012","PANOLA, MS",1,0,1,3,3
"2013","PANOLA, TX",1,100,1,3,3
"2014","PARK, MT",1,100,0,NA,NA
"2015","PARKER, TX",1,0,1,4,4
"2016","PARMER, TX",1,100,0,NA,NA
"2017","PASQUOTANK, NC",1,0,1,3,3
"2018","PATRICK, VA",1,0,0,NA,NA
"2019","PAULDING, GA",1,0,1,3,3
"2020","PAULDING, OH",1,0,0,NA,NA
"2021","PAWNEE, KS",1,0,0,NA,NA
"2022","PAWNEE, NE",1,0,0,NA,NA
"2023","PAWNEE, OK",1,0,0,NA,NA
"2024","PEACH, GA",1,0,0,NA,NA
"2025","PEMBINA, ND",1,100,0,NA,NA
"2026","PEMISCOT, MO",1,0,1,2,2
"2027","PEND OREILLE, WA",1,0,0,NA,NA
"2028","PENDER, NC",1,0,0,NA,NA
"2029","PENNINGTON, MN",1,100,0,NA,NA
"2030","PEPIN, WI",1,0,0,NA,NA
"2031","PERKINS, NE",1,0,0,NA,NA
"2032","PERRY, IN",1,0,0,NA,NA
"2033","PERRY, KY",1,100,1,2,2
"2034","PERRY, MO",1,0,0,NA,NA
"2035","PERRY, MS",1,0,0,NA,NA
"2036","PERRY, TN",1,0,1,3,3
"2037","PERSHING, NV",1,0,0,NA,NA
"2038","PERSON, NC",1,0,1,3,3
"2039","PETTIS, MO",1,0,1,2,2
"2040","PHELPS, MO",1,0,1,3,3
"2041","PHELPS, NE",1,100,0,NA,NA
"2042","PHILLIPS, AR",1,0,1,2,2
"2043","PHILLIPS, KS",1,0,0,NA,NA
"2044","PHILLIPS, MT",1,100,0,NA,NA
"2045","PIATT, IL",1,100,0,NA,NA
"2046","PICKAWAY, OH",1,0,1,3,3
"2047","PICKENS, AL",1,0,1,3,3
"2048","PICKENS, GA",1,0,1,3,3
"2049","PIERCE, ND",1,0,0,NA,NA
"2050","PIERCE, WI",1,100,0,NA,NA
"2051","PIKE, AL",1,0,1,3,3
"2052","PIKE, IL",1,100,0,NA,NA
"2053","PIKE, MO",1,0,0,NA,NA
"2054","PIKE, OH",1,100,0,NA,NA
"2055","PINE, MN",1,100,0,NA,NA
"2056","PIPESTONE, MN",1,0,0,NA,NA
"2057","PITKIN, CO",1,0,0,NA,NA
"2058","PITT, NC",1,100,1,2,2
"2059","PITTSBURG, OK",1,0,1,2,2
"2060","PLATTE, MO",1,100,1,3,3
"2061","PLATTE, NE",1,0,1,4,4
"2062","PLATTE, WY",1,0,0,NA,NA
"2063","PLYMOUTH, IA",1,0,0,NA,NA
"2064","POCAHONTAS, IA",1,0,0,NA,NA
"2065","POCAHONTAS, WV",1,0,0,NA,NA
"2066","POINTE COUPEE, LA",1,0,0,NA,NA
"2067","POLK, AR",1,0,1,3,3
"2068","POLK, GA",1,100,0,NA,NA
"2069","POLK, MO",1,0,1,3,3
"2070","POLK, NC",1,100,0,NA,NA
"2071","POLK, NE",1,0,0,NA,NA
"2072","POLK, OR",1,100,0,NA,NA
"2073","POLK, TN",1,0,0,NA,NA
"2074","POLK, TX",1,100,1,3,3
"2075","PONDERA, MT",1,100,0,NA,NA
"2076","PONTOTOC, MS",1,100,0,NA,NA
"2077","POPE, AR",1,0,1,3,3
"2078","POPE, MN",1,0,0,NA,NA
"2079","PORTAGE, OH",1,100,1,3,3
"2080","PORTAGE, WI",1,0,1,4,4
"2081","PORTER, IN",1,0,1,4,4
"2082","PORTSMOUTH CITY, VA",1,100,1,3,3
"2083","POTTAWATOMIE, OK",1,100,1,2,2
"2084","POTTER, PA",1,0,0,NA,NA
"2085","POTTER, SD",1,0,0,NA,NA
"2086","POWELL, MT",1,100,0,NA,NA
"2087","POWER, ID",1,0,0,NA,NA
"2088","POWESHIEK, IA",1,100,1,3,3
"2089","PRAIRIE, MT",1,0,0,NA,NA
"2090","PRATT, KS",1,100,1,3,3
"2091","PRENTISS, MS",1,0,1,4,4
"2092","PRESTON, WV",1,100,0,NA,NA
"2093","PRICE, WI",1,100,0,NA,NA
"2094","PRINCE EDWARD, VA",1,0,1,3,3
"2095","PROWERS, CO",1,0,0,NA,NA
"2096","PULASKI, GA",1,100,1,3,3
"2097","PULASKI, IN",1,0,0,NA,NA
"2098","PULASKI, KY",1,0,1,2,2
"2099","PULASKI, VA",1,0,1,3,3
"2100","PUSHMATAHA, OK",1,0,1,3,3
"2101","PUTNAM, FL",1,0,1,2,2
"2102","PUTNAM, GA",1,0,0,NA,NA
"2103","PUTNAM, IN",1,0,0,NA,NA
"2104","PUTNAM, MO",1,0,0,NA,NA
"2105","PUTNAM, NY",1,100,1,3,3
"2106","PUTNAM, TN",1,0,1,3,3
"2107","QUAY, NM",1,100,0,NA,NA
"2108","QUITMAN, MS",1,0,0,NA,NA
"2109","RABUN, GA",1,0,0,NA,NA
"2110","RAMSEY, ND",1,100,0,NA,NA
"2111","RANDOLPH, AL",1,0,1,4,4
"2112","RANDOLPH, AR",1,100,1,3,3
"2113","RANDOLPH, GA",1,0,0,NA,NA
"2114","RANDOLPH, IN",1,100,0,NA,NA
"2115","RANDOLPH, MO",1,0,1,2,2
"2116","RANDOLPH, NC",1,100,1,4,4
"2117","RANDOLPH, WV",1,100,1,3,3
"2118","RANSOM, ND",1,100,0,NA,NA
"2119","RAVALLI, MT",1,100,0,NA,NA
"2120","RAWLINS, KS",1,0,0,NA,NA
"2121","RAY, MO",1,0,0,NA,NA
"2122","REAGAN, TX",1,0,0,NA,NA
"2123","RED RIVER, LA",1,100,0,NA,NA
"2124","RED WILLOW, NE",1,0,0,NA,NA
"2125","REDWOOD, MN",1,0,0,NA,NA
"2126","REEVES, TX",1,0,0,NA,NA
"2127","REFUGIO, TX",1,0,0,NA,NA
"2128","RENVILLE, MN",1,0,0,NA,NA
"2129","REPUBLIC, KS",1,100,0,NA,NA
"2130","RHEA, TN",1,0,0,NA,NA
"2131","RICE, KS",1,0,0,NA,NA
"2132","RICE, MN",1,100,1,4,4
"2133","RICHARDSON, NE",1,100,0,NA,NA
"2134","RICHLAND, IL",1,100,1,3,3
"2135","RICHLAND, MT",1,100,0,NA,NA
"2136","RICHLAND, WI",1,100,0,NA,NA
"2137","RICHMOND, NC",1,0,1,4,4
"2138","RINGGOLD, IA",1,0,0,NA,NA
"2139","RIO ARRIBA, NM",1,100,1,4,4
"2140","RIO GRANDE, CO",1,100,0,NA,NA
"2141","RIPLEY, IN",1,100,0,NA,NA
"2142","RIPLEY, MO",1,100,1,3,3
"2143","ROANE, TN",1,0,1,3,3
"2144","ROANE, WV",1,100,0,NA,NA
"2145","ROANOKE CITY, VA",1,100,1,2,2
"2146","ROBERTS, SD",1,100,0,NA,NA
"2147","ROBERTSON, TN",1,0,1,3,3
"2148","ROBESON, NC",1,100,1,2,2
"2149","ROCK, MN",1,100,0,NA,NA
"2150","ROCK, NE",1,0,0,NA,NA
"2151","ROCKCASTLE, KY",1,100,1,3,3
"2152","ROCKDALE, GA",1,0,1,2,2
"2153","ROCKINGHAM, NC",1,100,1,3,3
"2154","ROGER MILLS, OK",1,0,0,NA,NA
"2155","ROOKS, KS",1,0,0,NA,NA
"2156","ROOSEVELT, NM",1,0,1,3,3
"2157","ROSEAU, MN",1,100,0,NA,NA
"2158","ROSEBUD, MT",1,100,0,NA,NA
"2159","ROSS, OH",1,100,1,3,3
"2160","ROUTT, CO",1,100,1,4,4
"2161","ROWAN, KY",1,0,1,2,2
"2162","ROWAN, NC",1,100,1,3,3
"2163","RUSH, IN",1,0,0,NA,NA
"2164","RUSH, KS",1,0,0,NA,NA
"2165","RUSK, TX",1,100,1,3,3
"2166","RUSK, WI",1,0,0,NA,NA
"2167","RUSSELL, AL",1,0,1,4,4
"2168","RUSSELL, KS",1,100,0,NA,NA
"2169","RUSSELL, KY",1,0,0,NA,NA
"2170","RUSSELL, VA",1,100,1,3,3
"2171","RUTHERFORD, NC",1,0,1,3,3
"2172","RUTLAND, VT",1,100,1,4,4
"2173","SABINE, LA",1,0,1,3,3
"2174","SABINE, TX",1,0,0,NA,NA
"2175","SAC, IA",1,100,0,NA,NA
"2176","SAINT BERNARD, LA",1,0,1,3,3
"2177","SAINT CHARLES, LA",1,0,1,3,3
"2178","SAINT CLAIR, AL",1,100,1,3,3
"2179","SAINT CLAIR, MO",1,0,0,NA,NA
"2180","SAINT FRANCIS, AR",1,0,1,2,2
"2181","SAINT HELENA, LA",1,0,0,NA,NA
"2182","SAINT JAMES, LA",1,0,0,NA,NA
"2183","SAINT JOHNS, FL",1,100,1,3,3
"2184","SAINT LANDRY, LA",1,0,1,3,3
"2185","SAINT MARTIN, LA",1,100,0,NA,NA
"2186","SAINT MARYS, MD",1,100,1,NA,NA
"2187","SAINTE GENEVIEVE, MO",1,0,0,NA,NA
"2188","SALEM, VA",1,0,1,3,3
"2189","SALINE, AR",1,0,1,3,3
"2190","SAMPSON, NC",1,0,1,3,3
"2191","SAN AUGUSTINE, TX",1,100,0,NA,NA
"2192","SAN BENITO, CA",1,0,1,2,2
"2193","SAN JUAN, WA",1,100,0,NA,NA
"2194","SAN MIGUEL, NM",1,0,1,3,3
"2195","SAN PATRICIO, TX",1,0,1,3,3
"2196","SANDERS, MT",1,100,0,NA,NA
"2197","SANDOVAL, NM",1,100,1,3,3
"2198","SANTA CRUZ, AZ",1,0,0,NA,NA
"2199","SARATOGA, NY",1,100,1,3,3
"2200","SAUNDERS, NE",1,0,0,NA,NA
"2201","SAWYER, WI",1,100,0,NA,NA
"2202","SCHLEICHER, TX",1,0,0,NA,NA
"2203","SCHOHARIE, NY",1,100,1,4,4
"2204","SCHOOLCRAFT, MI",1,0,0,NA,NA
"2205","SCHUYLER, IL",1,0,0,NA,NA
"2206","SCHUYLER, NY",1,100,0,NA,NA
"2207","SCOTLAND, MO",1,0,0,NA,NA
"2208","SCOTLAND, NC",1,100,1,4,4
"2209","SCOTT, AR",1,100,0,NA,NA
"2210","SCOTT, IN",1,0,0,NA,NA
"2211","SCOTT, KS",1,100,0,NA,NA
"2212","SCOTT, KY",1,0,1,3,3
"2213","SCOTTS BLUFF, NE",1,100,1,3,3
"2214","SCREVEN, GA",1,0,0,NA,NA
"2215","SCURRY, TX",1,0,0,NA,NA
"2216","SEDGWICK, CO",1,0,0,NA,NA
"2217","SEMINOLE, FL",1,0,1,2,2
"2218","SEMINOLE, GA",1,100,1,3,3
"2219","SEMINOLE, OK",1,0,1,3,3
"2220","SEQUOYAH, OK",1,0,1,4,4
"2221","SEVIER, AR",1,0,0,NA,NA
"2222","SEVIER, UT",1,100,1,4,4
"2223","SEWARD, KS",1,0,1,3,3
"2224","SEWARD, NE",1,100,0,NA,NA
"2225","SHARKEY, MS",1,0,1,NA,NA
"2226","SHAWANO, WI",1,100,0,NA,NA
"2227","SHELBY, AL",1,100,1,3,3
"2228","SHELBY, IA",1,0,0,NA,NA
"2229","SHELBY, IL",1,100,1,3,3
"2230","SHELBY, IN",1,0,1,4,4
"2231","SHELBY, KY",1,100,1,3,3
"2232","SHELBY, OH",1,100,1,3,3
"2233","SHENANDOAH, VA",1,100,0,NA,NA
"2234","SHERBURNE, MN",1,0,1,4,4
"2235","SHERIDAN, KS",1,0,0,NA,NA
"2236","SHERIDAN, MT",1,100,0,NA,NA
"2237","SHERIDAN, NE",1,0,0,NA,NA
"2238","SHERIDAN, WY",1,0,1,3,3
"2239","SHERMAN, KS",1,0,0,NA,NA
"2240","SHIAWASSEE, MI",1,0,1,2,2
"2241","SHOSHONE, ID",1,0,0,NA,NA
"2242","SIBLEY, MN",1,100,0,NA,NA
"2243","SIERRA, NM",1,0,0,NA,NA
"2244","SILVER BOW, MT",1,100,1,3,3
"2245","SIMPSON, KY",1,100,0,NA,NA
"2246","SIOUX, ND",1,0,1,NA,NA
"2247","SMITH, KS",1,0,0,NA,NA
"2248","SMITH, MS",1,0,1,NA,NA
"2249","SMITH, TN",1,0,0,NA,NA
"2250","SMYTH, VA",1,100,1,3,3
"2251","SOCORRO, NM",1,0,0,NA,NA
"2252","SOMERSET, MD",1,100,1,NA,NA
"2253","SOMERSET, NJ",1,100,1,2,2
"2254","SOMERVELL, TX",1,0,1,4,4
"2255","SPALDING, GA",1,0,1,3,3
"2256","SPINK, SD",1,0,0,NA,NA
"2257","SPOTSYLVANIA, VA",1,0,1,3,3
"2258","STAFFORD, KS",1,0,0,NA,NA
"2259","STAFFORD, VA",1,100,1,3,3
"2260","STANLY, NC",1,100,1,3,3
"2261","STANTON, KS",1,0,0,NA,NA
"2262","STARK, ND",1,0,0,NA,NA
"2263","STARKE, IN",1,0,1,3,3
"2264","STARR, TX",1,0,1,3,3
"2265","STEELE, MN",1,0,1,3,3
"2266","STEPHENS, GA",1,0,1,3,3
"2267","STEPHENS, OK",1,100,1,3,3
"2268","STEPHENS, TX",1,0,1,3,3
"2269","STEPHENSON, IL",1,100,1,3,3
"2270","STEUBEN, IN",1,100,0,NA,NA
"2271","STEVENS, KS",1,0,0,NA,NA
"2272","STEVENS, MN",1,100,0,NA,NA
"2273","STILLWATER, MT",1,100,0,NA,NA
"2274","STODDARD, MO",1,0,1,3,3
"2275","STOKES, NC",1,0,0,NA,NA
"2276","STONE, AR",1,100,0,NA,NA
"2277","STONE, MS",1,0,0,NA,NA
"2278","STONEWALL, TX",1,0,0,NA,NA
"2279","STUTSMAN, ND",1,100,0,NA,NA
"2280","SUFFOLK CITY, VA",1,0,1,4,4
"2281","SULLIVAN, IN",1,0,0,NA,NA
"2282","SULLIVAN, MO",1,0,0,NA,NA
"2283","SULLIVAN, NH",1,100,0,NA,NA
"2284","SUMMERS, WV",1,100,0,NA,NA
"2285","SUMMIT, CO",1,0,1,4,4
"2286","SUMMIT, UT",1,0,1,4,4
"2287","SUMTER, AL",1,0,1,NA,NA
"2288","SUMTER, FL",1,100,1,3,3
"2289","SUMTER, GA",1,0,1,3,3
"2290","SUMTER, SC",1,100,1,3,3
"2291","SUSSEX, NJ",1,100,1,3,3
"2292","SUTTER, CA",1,0,1,NA,NA
"2293","SUTTON, TX",1,0,0,NA,NA
"2294","SUWANNEE, FL",1,0,0,NA,NA
"2295","SWEET GRASS, MT",1,0,0,NA,NA
"2296","SWISHER, TX",1,100,0,NA,NA
"2297","TALBOT, MD",1,100,1,NA,NA
"2298","TALLAHATCHIE, MS",1,0,0,NA,NA
"2299","TANEY, MO",1,100,1,4,4
"2300","TAOS, NM",1,100,1,3,3
"2301","TATE, MS",1,0,1,3,3
"2302","TATTNALL, GA",1,0,0,NA,NA
"2303","TAYLOR, FL",1,100,1,2,2
"2304","TAYLOR, KY",1,0,1,3,3
"2305","TAYLOR, WI",1,100,0,NA,NA
"2306","TAYLOR, WV",1,0,0,NA,NA
"2307","TEHAMA, CA",1,0,1,3,3
"2308","TELLER, CO",1,100,0,NA,NA
"2309","TERRY, TX",1,0,1,3,3
"2310","TETON, ID",1,100,0,NA,NA
"2311","TETON, MT",1,100,0,NA,NA
"2312","TETON, WY",1,0,1,4,4
"2313","TEXAS, MO",1,0,1,3,3
"2314","TEXAS, OK",1,0,1,3,3
"2315","THAYER, NE",1,0,0,NA,NA
"2316","THOMAS, GA",1,100,1,3,3
"2317","THOMAS, KS",1,100,0,NA,NA
"2318","THROCKMORTON, TX",1,0,0,NA,NA
"2319","THURSTON, NE",1,0,0,NA,NA
"2320","TIFT, GA",1,0,1,2,2
"2321","TILLAMOOK, OR",1,0,0,NA,NA
"2322","TIOGA, PA",1,100,0,NA,NA
"2323","TIPPAH, MS",1,0,0,NA,NA
"2324","TIPTON, IN",1,0,0,NA,NA
"2325","TIPTON, TN",1,0,1,3,3
"2326","TISHOMINGO, MS",1,100,1,4,4
"2327","TITUS, TX",1,0,1,3,3
"2328","TODD, SD",1,0,1,NA,NA
"2329","TOMPKINS, NY",1,100,1,3,3
"2330","TOOELE, UT",1,0,1,3,3
"2331","TOOLE, MT",1,0,0,NA,NA
"2332","TOOMBS, GA",1,0,1,3,3
"2333","TOWNER, ND",1,100,0,NA,NA
"2334","TOWNS, GA",1,0,0,NA,NA
"2335","TRANSYLVANIA, NC",1,100,0,NA,NA
"2336","TRAVERSE, MN",1,100,0,NA,NA
"2337","TREGO, KS",1,0,0,NA,NA
"2338","TRIGG, KY",1,0,0,NA,NA
"2339","TRINITY, CA",1,0,0,NA,NA
"2340","TRINITY, TX",1,100,1,3,3
"2341","TRIPP, SD",1,100,0,NA,NA
"2342","TROUP, GA",1,0,1,4,4
"2343","TROUSDALE, TN",1,0,0,NA,NA
"2344","TUOLUMNE, CA",1,0,1,3,3
"2345","TURNER, SD",1,100,0,NA,NA
"2346","TUSCALOOSA, AL",1,0,1,2,2
"2347","TWIN FALLS, ID",1,100,1,3,3
"2348","TYLER, TX",1,0,1,3,3
"2349","TYLER, WV",1,0,0,NA,NA
"2350","UINTA, WY",1,0,1,3,3
"2351","UINTAH, UT",1,0,1,3,3
"2352","UNICOI, TN",1,100,1,3,3
"2353","UNION, AR",1,0,1,3,3
"2354","UNION, FL",1,0,0,NA,NA
"2355","UNION, GA",1,0,1,3,3
"2356","UNION, IA",1,0,0,NA,NA
"2357","UNION, IL",1,0,0,NA,NA
"2358","UNION, KY",1,0,0,NA,NA
"2359","UNION, MS",1,0,1,4,4
"2360","UNION, NC",1,0,1,2,2
"2361","UNION, NM",1,100,0,NA,NA
"2362","UNION, OH",1,0,1,3,3
"2363","UNION, OR",1,100,0,NA,NA
"2364","UNION, PA",1,0,1,3,3
"2365","UNION, SC",1,0,1,NA,NA
"2366","UNION, SD",1,0,1,NA,NA
"2367","UPSHUR, WV",1,100,0,NA,NA
"2368","UPSON, GA",1,0,1,3,3
"2369","UTUADO, PR",1,0,1,NA,NA
"2370","UVALDE, TX",1,0,0,NA,NA
"2371","VAL VERDE, TX",1,0,1,3,3
"2372","VALLEY, MT",1,100,0,NA,NA
"2373","VALLEY, NE",1,0,0,NA,NA
"2374","VAN BUREN, AR",1,100,0,NA,NA
"2375","VAN BUREN, IA",1,0,0,NA,NA
"2376","VAN WERT, OH",1,100,1,3,3
"2377","VAN ZANDT, TX",1,0,1,NA,NA
"2378","VANCE, NC",1,0,1,2,2
"2379","VEGA BAJA, PR",1,0,1,NA,NA
"2380","VENANGO, PA",1,0,1,4,4
"2381","VERMILLION, IN",1,100,0,NA,NA
"2382","VERNON, MO",1,0,1,3,3
"2383","VILAS, WI",1,100,0,NA,NA
"2384","WABASH, IL",1,0,0,NA,NA
"2385","WABASH, IN",1,100,0,NA,NA
"2386","WADENA, MN",1,0,0,NA,NA
"2387","WAGONER, OK",1,0,1,3,3
"2388","WALDO, ME",1,100,0,NA,NA
"2389","WALKER, AL",1,100,1,3,3
"2390","WALKER, TX",1,100,1,2,2
"2391","WALLOWA, OR",1,0,0,NA,NA
"2392","WALTHALL, MS",1,0,0,NA,NA
"2393","WALTON, GA",1,0,1,2,2
"2394","WALWORTH, SD",1,100,0,NA,NA
"2395","WAPELLO, IA",1,0,1,3,3
"2396","WARD, TX",1,0,0,NA,NA
"2397","WARE, GA",1,100,1,3,3
"2398","WARREN, IL",1,100,0,NA,NA
"2399","WARREN, IN",1,0,0,NA,NA
"2400","WARREN, MS",1,0,1,2,2
"2401","WARREN, NY",1,100,1,4,4
"2402","WARREN, OH",1,100,1,4,4
"2403","WARREN, PA",1,100,1,3,3
"2404","WARREN, TN",1,0,1,3,3
"2405","WARREN, VA",1,0,1,3,3
"2406","WASATCH, UT",1,100,0,NA,NA
"2407","WASCO, OR",1,0,1,3,3
"2408","WASECA, MN",1,100,0,NA,NA
"2409","WASHAKIE, WY",1,0,0,NA,NA
"2410","WASHINGTON, AL",1,0,0,NA,NA
"2411","WASHINGTON, FL",1,100,0,NA,NA
"2412","WASHINGTON, GA",1,0,1,3,3
"2413","WASHINGTON, IA",1,0,0,NA,NA
"2414","WASHINGTON, ID",1,0,0,NA,NA
"2415","WASHINGTON, IL",1,0,0,NA,NA
"2416","WASHINGTON, IN",1,100,0,NA,NA
"2417","WASHINGTON, MD",1,100,1,NA,NA
"2418","WASHINGTON, MO",1,0,0,NA,NA
"2419","WASHINGTON, MS",1,0,1,2,2
"2420","WASHINGTON, NC",1,0,0,NA,NA
"2421","WASHINGTON, NE",1,100,0,NA,NA
"2422","WASHINGTON, OK",1,100,1,2,2
"2423","WASHINGTON, TX",1,100,1,3,3
"2424","WASHINGTON, UT",1,100,1,4,4
"2425","WASHINGTON, VA",1,100,1,3,3
"2426","WASHINGTON, VT",1,100,1,4,4
"2427","WASHITA, OK",1,0,0,NA,NA
"2428","WATAUGA, NC",1,0,1,3,3
"2429","WAUPACA, WI",1,100,0,NA,NA
"2430","WAUSHARA, WI",1,100,0,NA,NA
"2431","WAYNE, GA",1,0,1,3,3
"2432","WAYNE, IA",1,0,0,NA,NA
"2433","WAYNE, IL",1,100,0,NA,NA
"2434","WAYNE, IN",1,100,1,4,4
"2435","WAYNE, KY",1,100,0,NA,NA
"2436","WAYNE, MS",1,0,1,3,3
"2437","WAYNE, NC",1,100,1,3,3
"2438","WAYNE, NE",1,100,0,NA,NA
"2439","WAYNE, NY",1,100,1,2,2
"2440","WAYNE, PA",1,100,1,2,2
"2441","WAYNE, TN",1,0,1,3,3
"2442","WEAKLEY, TN",1,0,1,3,3
"2443","WEBSTER, IA",1,100,1,3,3
"2444","WEBSTER, MS",1,0,1,3,3
"2445","WEBSTER, NE",1,0,0,NA,NA
"2446","WEBSTER, WV",1,100,0,NA,NA
"2447","WELD, CO",1,100,1,4,4
"2448","WELLS, IN",1,0,1,3,3
"2449","WELLS, ND",1,100,0,NA,NA
"2450","WEST CARROLL, LA",1,0,1,3,3
"2451","WEST FELICIANA, LA",1,0,0,NA,NA
"2452","WESTON, WY",1,0,0,NA,NA
"2453","WETZEL, WV",1,0,1,3,3
"2454","WEXFORD, MI",1,0,1,3,3
"2455","WHATCOM, WA",1,0,1,4,4
"2456","WHEATLAND, MT",1,0,0,NA,NA
"2457","WHITE PINE, NV",1,0,0,NA,NA
"2458","WHITE, AR",1,100,1,3,3
"2459","WHITE, IN",1,100,0,NA,NA
"2460","WHITE, TN",1,0,1,3,3
"2461","WHITFIELD, GA",1,100,1,4,4
"2462","WHITLEY, IN",1,100,1,4,4
"2463","WICHITA, KS",1,0,0,NA,NA
"2464","WICOMICO, MD",1,100,1,NA,NA
"2465","WILBARGER, TX",1,0,1,NA,NA
"2466","WILCOX, AL",1,0,1,NA,NA
"2467","WILKES, GA",1,0,0,NA,NA
"2468","WILKES, NC",1,0,1,2,2
"2469","WILKIN, MN",1,0,0,NA,NA
"2470","WILKINSON, MS",1,0,0,NA,NA
"2471","WILLIAMSBURG, SC",1,100,0,NA,NA
"2472","WILLIAMSON, TN",1,0,1,4,4
"2473","WILSON, NC",1,100,1,4,4
"2474","WILSON, TN",1,100,1,3,3
"2475","WILSON, TX",1,0,1,3,3
"2476","WINCHESTER CITY, VA",1,100,1,3,3
"2477","WINKLER, TX",1,0,0,NA,NA
"2478","WINN, LA",1,0,1,3,3
"2479","WINNESHIEK, IA",1,0,0,NA,NA
"2480","WINONA, MN",1,100,1,3,3
"2481","WINSTON, AL",1,0,1,5,5
"2482","WINSTON, MS",1,100,1,3,3
"2483","WISE, TX",1,0,1,3,3
"2484","WISE, VA",1,0,1,3,3
"2485","WOOD, OH",1,100,1,3,3
"2486","WOOD, WV",1,100,1,2,2
"2487","WOODFORD, IL",1,100,0,NA,NA
"2488","WOODFORD, KY",1,0,0,NA,NA
"2489","WOODS, OK",1,0,1,NA,NA
"2490","WOODWARD, OK",1,0,1,3,3
"2491","WORCESTER, MD",1,100,1,NA,NA
"2492","WORTH, GA",1,100,0,NA,NA
"2493","WYANDOT, OH",1,0,0,NA,NA
"2494","WYOMING, NY",1,0,1,3,3
"2495","WYOMING, PA",1,0,1,4,4
"2496","WYTHE, VA",1,0,1,3,3
"2497","YALOBUSHA, MS",1,0,1,4,4
"2498","YATES, NY",1,0,0,NA,NA
"2499","YAUCO, PR",1,0,1,NA,NA
"2500","YAZOO, MS",1,100,0,NA,NA
"2501","YOAKUM, TX",1,0,0,NA,NA
"2502","YORK, SC",1,0,1,1,1
"2503","YUBA, CA",1,100,1,1,1
"2504","YUMA, AZ",1,100,1,2,2
